name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
11 Comae Berenices b,304.0,4.72307,Gas Giant,2007,19.4,Jupiter,1.08,Jupiter,1.29,0.8925394,0.23,Radial Velocity
11 Ursae Minoris b,409.0,5.013,Gas Giant,2009,14.74,Jupiter,1.09,Jupiter,1.53,1.4,0.08,Radial Velocity
14 Andromedae b,246.0,5.23133,Gas Giant,2008,4.8,Jupiter,1.15,Jupiter,0.83,0.5086927,0.0,Radial Velocity
14 Herculis b,58.0,6.61935,Gas Giant,2002,8.13881,Jupiter,1.12,Jupiter,2.773069,4.8,0.37,Radial Velocity
16 Cygni B b,69.0,6.215,Gas Giant,1996,1.78,Jupiter,1.2,Jupiter,1.66,2.2,0.68,Radial Velocity
17 Scorpii b,408.0,5.22606,Gas Giant,2020,4.32,Jupiter,1.15,Jupiter,1.45,1.6,0.06,Radial Velocity
18 Delphini b,249.0,5.51048,Gas Giant,2008,10.3,Jupiter,1.11,Jupiter,2.6,2.7,0.08,Radial Velocity
1RXS J160929.1-210524 b,454.0,12.618,Gas Giant,2008,8.0,Jupiter,1.664,Jupiter,330.0,6505.9,0.0,Direct Imaging
24 Bootis b,313.0,5.59,Gas Giant,2018,0.91,Jupiter,1.24,Jupiter,0.19,0.08323066,0.04,Radial Velocity
24 Sextantis b,235.0,6.4535,Gas Giant,2010,1.99,Jupiter,1.19,Jupiter,1.333,1.2396988,0.09,Radial Velocity
24 Sextantis c,235.0,6.4535,Gas Giant,2010,0.86,Jupiter,1.24,Jupiter,2.08,2.4,0.29,Radial Velocity
2M0437 b,419.0,16.186,Gas Giant,2021,4.0,Jupiter,1.16,Jupiter,118.0,3110.6,0.0,Direct Imaging
2MASS J01033563-5515561 AB b,154.0,15.788,Gas Giant,2013,13.0,Jupiter,1.1,Jupiter,84.0,1767.2,0.0,Direct Imaging
2MASS J01225093-2439505 b,110.0,14.244,Gas Giant,2013,24.5,Jupiter,1.0,Jupiter,52.0,593.2,0.0,Direct Imaging
2MASS J02192210-3925225 b,131.0,,Gas Giant,2015,13.9,Jupiter,1.44,Jupiter,156.0,5878.1,0.0,Direct Imaging
2MASS J04414489+2301513 b,393.0,,Gas Giant,2010,7.5,Jupiter,1.13,Jupiter,15.0,411.0,0.0,Direct Imaging
2MASS J12073346-3932539 b,210.0,20.15,Gas Giant,2004,5.0,Jupiter,1.15,Jupiter,55.0,2885.9,0.0,Direct Imaging
2MASS J19383260+4603591 b,1293.0,12.651,Gas Giant,2015,1.9,Jupiter,1.2,Jupiter,0.92,1.1115674,0.33,Eclipse Timing Variations
2MASS J22362452+4751425 b,227.0,12.368,Gas Giant,2016,12.5,Jupiter,1.1,Jupiter,230.0,4505.7,0.0,Direct Imaging
30 Arietis B b,146.0,7.09209,Gas Giant,2009,13.82,Jupiter,1.1,Jupiter,0.99,0.9174538,0.29,Radial Velocity
42 Draconis b,296.0,4.8262,Gas Giant,2008,3.88,Jupiter,1.16,Jupiter,1.19,1.3117043,0.38,Radial Velocity
47 Ursae Majoris b,45.0,5.03352,Gas Giant,1996,2.53,Jupiter,1.18,Jupiter,2.1,3.0,0.03,Radial Velocity
